regPA_SU_POINT_MINMAX reg:0xa281
regPA_SU_LINE_CNTL reg:0xa282
regPA_SC_LINE_STIPPLE reg:0xa283
regVGT_OUTPUT_PATH_CNTL reg:0xa284
regVGT_HOS_CNTL reg:0xa285
regVGT_HOS_MAX_TESS_LEVEL reg:0xa286
regVGT_HOS_MIN_TESS_LEVEL reg:0xa287
regVGT_HOS_REUSE_DEPTH reg:0xa288
regVGT_GROUP_PRIM_TYPE reg:0xa289
regVGT_GROUP_FIRST_DECR reg:0xa28a
regVGT_GROUP_DECR reg:0xa28b
regVGT_GROUP_VECT_0_CNTL reg:0xa28c
regVGT_GROUP_VECT_1_CNTL reg:0xa28d
regVGT_GROUP_VECT_0_FMT_CNTL reg:0xa28e
regVGT_GROUP_VECT_1_FMT_CNTL reg:0xa28f
regVGT_GS_MODE reg:0xa290
regVGT_GS_ONCHIP_CNTL reg:0xa291
regPA_SC_MODE_CNTL_0 reg:0xa292
regPA_SC_MODE_CNTL_1 reg:0xa293
regVGT_ENHANCE reg:0xa294
regVGT_GS_PER_ES reg:0xa295
regVGT_ES_PER_GS reg:0xa296
regVGT_GS_PER_VS reg:0xa297
regVGT_GSVS_RING_OFFSET_1 reg:0xa298
regVGT_GSVS_RING_OFFSET_2 reg:0xa299
regVGT_GSVS_RING_OFFSET_3 reg:0xa29a
regVGT_GS_OUT_PRIM_TYPE reg:0xa29b
regIA_ENHANCE reg:0xa29c
regVGT_DMA_SIZE reg:0xa29d
regVGT_DMA_MAX_SIZE reg:0xa29e
regVGT_DMA_INDEX_TYPE reg:0xa29f
regWD_ENHANCE reg:0xa2a0
regVGT_PRIMITIVEID_EN reg:0xa2a1
regVGT_DMA_NUM_INSTANCES reg:0xa2a2
regVGT_PRIMITIVEID_RESET reg:0xa2a3
regVGT_EVENT_INITIATOR reg:0xa2a4
regVGT_GS_MAX_PRIMS_PER_SUBGROUP reg:0xa2a5
regVGT_DRAW_PAYLOAD_CNTL reg:0xa2a6
regVGT_INSTANCE_STEP_RATE_0 reg:0xa2a8
regVGT_INSTANCE_STEP_RATE_1 reg:0xa2a9
regIA_MULTI_VGT_PARAM_BC reg:0xa2aa
regVGT_ESGS_RING_ITEMSIZE reg:0xa2ab
regVGT_GSVS_RING_ITEMSIZE reg:0xa2ac
regVGT_REUSE_OFF reg:0xa2ad
regVGT_VTX_CNT_EN reg:0xa2ae
regDB_HTILE_SURFACE reg:0xa2af
regDB_SRESULTS_COMPARE_STATE0 reg:0xa2b0
regDB_SRESULTS_COMPARE_STATE1 reg:0xa2b1
regDB_PRELOAD_CONTROL reg:0xa2b2
regVGT_STRMOUT_BUFFER_SIZE_0 reg:0xa2b4
regVGT_STRMOUT_VTX_STRIDE_0 reg:0xa2b5
regVGT_STRMOUT_BUFFER_OFFSET_0 reg:0xa2b7
regVGT_STRMOUT_BUFFER_SIZE_1 reg:0xa2b8
regVGT_STRMOUT_VTX_STRIDE_1 reg:0xa2b9
regVGT_STRMOUT_BUFFER_OFFSET_1 reg:0xa2bb
regVGT_STRMOUT_BUFFER_SIZE_2 reg:0xa2bc
regVGT_STRMOUT_VTX_STRIDE_2 reg:0xa2bd
regVGT_STRMOUT_BUFFER_OFFSET_2 reg:0xa2bf
regVGT_STRMOUT_BUFFER_SIZE_3 reg:0xa2c0
regVGT_STRMOUT_VTX_STRIDE_3 reg:0xa2c1
regVGT_STRMOUT_BUFFER_OFFSET_3 reg:0xa2c3
regVGT_STRMOUT_DRAW_OPAQUE_OFFSET reg:0xa2ca
regVGT_STRMOUT_DRAW_OPAQUE_BUFFER_FILLED_SIZE reg:0xa2cb
regVGT_STRMOUT_DRAW_OPAQUE_VERTEX_STRIDE reg:0xa2cc
regVGT_GS_MAX_VERT_OUT reg:0xa2ce
regVGT_TESS_DISTRIBUTION reg:0xa2d4
regVGT_SHADER_STAGES_EN reg:0xa2d5
regVGT_LS_HS_CONFIG reg:0xa2d6
regVGT_GS_VERT_ITEMSIZE reg:0xa2d7
regVGT_GS_VERT_ITEMSIZE_1 reg:0xa2d8
regVGT_GS_VERT_ITEMSIZE_2 reg:0xa2d9
regVGT_GS_VERT_ITEMSIZE_3 reg:0xa2da
regVGT_TF_PARAM reg:0xa2db
regDB_ALPHA_TO_MASK reg:0xa2dc
regVGT_DISPATCH_DRAW_INDEX reg:0xa2dd
regPA_SU_POLY_OFFSET_DB_FMT_CNTL reg:0xa2de
regPA_SU_POLY_OFFSET_CLAMP reg:0xa2df
regPA_SU_POLY_OFFSET_FRONT_SCALE reg:0xa2e0
regPA_SU_POLY_OFFSET_FRONT_OFFSET reg:0xa2e1
regPA_SU_POLY_OFFSET_BACK_SCALE reg:0xa2e2
regPA_SU_POLY_OFFSET_BACK_OFFSET reg:0xa2e3
regVGT_GS_INSTANCE_CNT reg:0xa2e4
regVGT_STRMOUT_CONFIG reg:0xa2e5
regVGT_STRMOUT_BUFFER_CONFIG reg:0xa2e6
regVGT_DMA_EVENT_INITIATOR reg:0xa2e7
regPA_SC_CENTROID_PRIORITY_0 reg:0xa2f5
regPA_SC_CENTROID_PRIORITY_1 reg:0xa2f6
regPA_SC_LINE_CNTL reg:0xa2f7
regPA_SC_AA_CONFIG reg:0xa2f8
regPA_SU_VTX_CNTL reg:0xa2f9
regPA_CL_GB_VERT_CLIP_ADJ reg:0xa2fa
regPA_CL_GB_VERT_DISC_ADJ reg:0xa2fb
regPA_CL_GB_HORZ_CLIP_ADJ reg:0xa2fc
